Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Batman,"$710,500,421","$349,000,421",49.1%,"$361,500,000",50.9%
2,Water Gate Bridge,"$626,203,271","$117,294",<0.1%,"$626,085,977",100%
3,Uncharted,"$373,112,735","$138,912,735",37.2%,"$234,200,000",62.8%
4,Too Cool to Kill,"$217,255,728","$185,882",<0.1%,"$217,069,846",99.9%
5,Nice View,"$211,009,885",-,-,"$211,009,885",100%
6,Scream,"$140,041,405","$81,641,405",58.3%,"$58,400,000",41.7%
7,Death on the Nile,"$134,789,485","$45,425,621",33.7%,"$89,363,864",66.3%
8,Morbius,"$84,000,000","$39,100,000",46.5%,"$44,900,000",53.5%
9,Jackass Forever,"$79,260,325","$57,743,451",72.9%,"$21,516,874",27.1%
10,Dog,"$72,453,609","$60,138,100",83%,"$12,315,509",17%
11,The Lost City,"$61,581,000","$54,581,000",88.6%,"$7,000,000",11.4%
12,Marry Me,"$49,137,180","$22,438,180",45.7%,"$26,699,000",54.3%
13,Moonfall,"$41,922,670","$19,060,660",45.5%,"$22,862,010",54.5%
14,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
15,The Bad Guys,"$28,768,000",-,-,"$28,768,000",100%
16,The 355,"$27,608,659","$14,570,455",52.8%,"$13,038,204",47.2%
17,Sonic the Hedgehog 2,"$25,500,000",-,-,"$25,500,000",100%
18,The Kashmir Files,"$24,725,676","$1,485,000",6%,"$23,240,676",94%
19,The Confidence Man JP: Episode of the Hero,"$23,100,870",-,-,"$23,100,870",100%
20,Ambulance,"$18,681,000",-,-,"$18,681,000",100%
21,Radhe Shyam,"$15,975,683","$1,860,000",11.6%,"$14,115,683",88.4%
22,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
23,Blacklight,"$15,107,377","$9,591,094",63.5%,"$5,516,283",36.5%
24,Maison de retraite,"$14,718,254",-,-,"$14,718,254",100%
25,Super-héros malgré lui,"$14,548,576",-,-,"$14,548,576",100%
26,Wunderschön,"$13,935,344",-,-,"$13,935,344",100%
27,Doraemon the Movie: Nobita's Little Star Wars 2021,"$13,463,545",-,-,"$13,463,545",100%
28,Valimai,"$13,276,393",-,-,"$13,276,393",100%
29,RRR,"$12,641,154","$11,113,000",87.9%,"$1,528,154",12.1%
30,The Last 10 Years,"$12,515,780",-,-,"$12,515,780",100%
31,Bergen,"$11,623,137",-,-,"$11,623,137",100%
32,Turning Red,"$11,285,214",-,-,"$11,285,214",100%
33,X,"$10,996,907","$10,393,078",94.5%,"$603,829",5.5%
34,The Pirates: The Last Royal Treasure,"$10,266,142",-,-,"$10,266,142",100%
35,Vaillante,"$9,999,092",-,-,"$9,999,092",100%
36,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%
37,The Duke,"$7,179,736",-,-,"$7,179,736",100%
38,Cyrano,"$6,276,021","$3,849,448",61.3%,"$2,426,573",38.7%
39,Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
40,I've Heard the Mermaids Singing 2022 Re-release,"$5,953,730","$5,953,730",100%,-,-
41,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
